,20.1_vs_10.1,10.2_vs_10.1,20.2_vs_20.1,20.2_vs_10.2,liver_10_vs_20,scanner_1_vs_2,Int__liver_10.20_vs_scanner_1.2
1031_at,0.513162383712791,0.517808172596426,0.488335367463978,0.483688933790832,0.501113988946993,0.497826436731039,0.489578295247418
1032_at,0.500604196150917,0.499491568906334,0.503656909513601,0.504769474718355,0.498100087372966,0.498886828165891,0.5014726851053
1033_g_at,0.500555937336989,0.500104883955404,0.499107965802587,0.499559018709381,0.499959356868242,0.500278299876771,0.499647535989552
1034_at,0.513222205521566,0.497223328311266,0.490078331840098,0.506078394897594,0.493175600815867,0.504489815936958,0.497473525400039
1035_g_at,0.489188496244249,0.485940972474417,0.500536286688812,0.503785341366923,0.502484555400219,0.504781925593068,0.505161108202051
1036_at,0.518561391883251,0.513753569018712,0.491647269896145,0.496458505134442,0.494687468517503,0.498089774550538,0.49218356373409
1037_at,0.500284477971455,0.500774994035508,0.499930087021345,0.499439570677928,0.500097563591323,0.499750716045718,0.499701280115857
1038_s_at,0.519493979153064,0.535716608117023,0.515470196422157,0.499211363738509,0.493384221001386,0.481890667219559,0.492826653914334
1039_s_at,0.506832491342211,0.510176146414255,0.498487987073039,0.495143678605473,0.499301243073756,0.496936407379504,0.495867294032271
103_at,0.493551996440464,0.501844228041119,0.506367692039545,0.498075450973549,0.502960219094664,0.497096575518655,0.501599375029523
1040_s_at,0.500524921311528,0.502067552884172,0.507200017217432,0.505657577803353,0.497814100308606,0.496723314529499,0.501814728844515
1041_at,0.499535647883331,0.499594433947988,0.497885061071857,0.497826275821459,0.500932703808977,0.500891135867892,0.499395642177188
1042_at,0.52181595382896,0.503978162238251,0.4740550899002,0.49188594358868,0.495152116613431,0.507772378777541,0.489415339480626
1043_s_at,0.524760649341259,0.50302017517882,0.482652082826623,0.504402886314943,0.489684623165155,0.505067409541267,0.492797238795439
1044_s_at,0.519005407248929,0.517664510992244,0.482161940450611,0.483503011546927,0.499112260345366,0.500061419492789,0.487445873418048
1045_s_at,0.520658685273007,0.496763648291386,0.483596313336002,0.507495561320118,0.490043581132031,0.506945099046094,0.495343127216297
1046_at,0.498855815845716,0.496651637804023,0.483196179424805,0.485398684740623,0.505567847581529,0.507126265257714,0.495241145999126
1047_s_at,0.51253687960917,0.513257072481278,0.490533418251117,0.489813067423505,0.499168830546208,0.498659312864136,0.491965341115405
1048_at,0.529317807696939,0.496632496978783,0.476886075616674,0.509583996541048,0.48623919148183,0.509366329310507,0.493014379569171
1049_g_at,0.499164059984778,0.500134999933464,0.499992451064609,0.499021511482687,0.500641497646353,0.499954939266682,0.499949601363314
104_at,0.502213327460852,0.499928714715078,0.489490641091014,0.491774632243138,0.50212576922672,0.503741197643371,0.496309206478521
1050_at,0.500365565794346,0.505944592451458,0.500507432499848,0.494928322645742,0.501663905158091,0.497718799302603,0.498077603369272
1051_g_at,0.501393547489686,0.502545651525024,0.498366911364343,0.497214810952032,0.50049202646408,0.499677355836239,0.498522587904434
