,20.1_vs_10.1,10.2_vs_10.1,20.2_vs_20.1,20.2_vs_10.2,liver_10_vs_20,scanner_1_vs_2,Int__liver_10.20_vs_scanner_1.2
1048_at,0.00345014114771969,-0.000395892375530948,-0.0027191944252789,0.00112683909797173,-0.00228849012284549,0.00155754340040515,-0.0011616510248742
1049_g_at,-4.89557609915092e-05,7.90623821100844e-06,-4.42086412366649e-07,-5.73040856148843e-05,5.31299233030857e-05,-3.73207589943192e-06,-4.17416231157652e-06
104_at,0.000186907069021913,-6.01972253733152e-06,-0.000887564184045786,-0.000694637392486541,0.000253865161732314,0.000446791953291559,-0.000440772230754227
1050_at,1.26459445279892e-05,0.000205673393354866,1.7553856818231e-05,-0.000175473592008646,8.14138237402728e-05,-0.000111613625086493,-9.4059768268262e-05
1051_g_at,9.40072530166702e-05,0.000171729942189724,-0.000110166245533838,-0.000187888934706892,4.69408408452221e-05,-3.07818483280542e-05,-0.000140948093861892
1052_s_at,7.62582288320601e-05,0.00219244608407898,0.00128360729290833,-0.000832580562338592,0.000378161166754154,-0.00173802668849454,-0.000454419395584438
1053_at,-6.84831389108354e-06,-0.000671456344274901,0.000304629919745558,0.000969237950129376,-0.000481194818118702,0.000183413212265116,0.000488043132009786
1054_at,0.00134130563879431,0.000324964119233329,-0.000199504698007225,0.000816836821553757,-0.00107907123017448,-6.27297106126079e-05,-0.000262234408620721
1055_g_at,0.00142432153748118,0.000953947836631386,-0.000377783924560227,9.25897762895644e-05,-0.000758455656885815,-0.000288081956036024,-0.000665865880595362
1056_s_at,0.00139655367153413,0.000298912210874747,-0.000574114370914813,0.000523527089744569,-0.000960040380639349,0.000137601080020033,-0.00043651329089478
1057_at,-0.000406963352532763,-0.000375566957318441,-0.000131186258088611,-0.000162582653302934,0.000284773002918293,0.00025337660770397,0.000122190349615359
1058_at,-0.000355658425304384,-0.000318940750668295,7.17001514816129e-05,3.49824768455242e-05,0.000160337974229652,0.000123620299593341,0.000195320451074732
1059_at,0.000117255484037404,-0.000109960396574182,-0.000114201782781764,0.000113014097829822,-0.000115134790933613,0.000112081089677973,-2.12069310379093e-06
105_at,0.000264903070804401,6.57204225920083e-05,-0.000103301009770185,9.58816384422079e-05,-0.000180392354623304,1.87902935890882e-05,-8.45107161810965e-05
1060_g_at,0.000589614188372334,9.01190804971641e-05,0.000378832247425631,0.000878327355300801,-0.000733970771836567,-0.000234475663961398,0.000144356583464234
1061_at,0.000172336814455498,-0.000541834922700879,-0.000580625785537414,0.000133545951618963,-0.000152941383037231,0.000561230354119147,-1.93954314182676e-05
1062_g_at,0.000259314415989031,0.000728559985235577,0.00103980712737961,0.000570561558133065,-0.000414937987061492,-0.00088418355630715,0.000155623571072461
1063_s_at,-4.43826971385786e-05,-1.98130532123031e-05,7.90341282421725e-05,5.4464484315897e-05,-5.0408935885482e-06,-2.96105375148237e-05,4.94235907271268e-05
1064_at,0.000451755855217506,0.00060335653388055,0.000548639750438618,0.000397039071775573,-0.000424397463495652,-0.000575998142158696,-2.73583917209663e-05
1065_at,0.000457812848273065,0.000133062214675128,1.63482997894704e-06,0.000326385463576884,-0.000392099155925862,-6.73485223270376e-05,-6.57136923489787e-05
1066_at,-0.000185753926237986,-0.000176275488582345,-3.52946303161517e-05,-4.47730679717928e-05,0.000115263497104667,0.00010578505944947,7.04904291328745e-05
1067_at,-2.66144796761125e-05,0.000842289499201065,0.000225801988381846,-0.000643101990495332,0.000334858235085278,-0.000534045743791012,-0.000308243755409165
1068_g_at,-0.000519764553247093,0.000641141137635692,0.000691238160153596,-0.00046966753072919,0.000494716041988141,-0.000666189648894644,2.50485112589516e-05
1069_at,0.000346789759484878,0.00042130600582535,0.000952778820894729,0.000878262574554256,-0.000612526167019567,-0.000687042413360039,0.000265736407534689
106_at,0.000984742514445358,0.00036562255433914,-0.000471524566249215,0.000147595393857003,-0.000566168954151181,5.29510059550375e-05,-0.000418573560294178
1070_at,-0.000287436227026205,-3.5074716299377e-05,2.78807258045077e-05,-0.000224480784922321,0.000255958505974263,3.59699524743462e-06,3.14777210519424e-05
1071_at,8.90612548425374e-05,-9.34382191934979e-05,-0.000229715727256607,-4.72162532205722e-05,-2.09225008109826e-05,0.000161576973225053,-6.81387540315548e-05
1072_g_at,-4.69005185044225e-05,-0.000384430103296474,-0.00028176006964209,5.57695151499615e-05,-4.43449832276954e-06,0.000333095086469282,5.1335016827192e-05
1073_at,0.00234704318790158,0.0027988018041718,-0.000227679176100892,-0.000679437792371118,-0.000833802697764341,-0.00128556131403457,-0.00151324049013546
1074_at,-2.55820168089116e-05,0.00393699816194815,0.00190893919642043,-0.00205364098233662,0.00103961149957321,-0.00292296867918473,-0.00101402948276341
